2025-11-24 16:44:11 UTC | himanshu1001 | register | /register | New account created
2025-11-24 16:44:27 UTC | himanshu1001 | login_success | /login | User logged in
2025-11-24 16:44:28 UTC | himanshu1001 | navigate | /favicon.ico | GET request
2025-11-24 16:44:34 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 16:44:48 UTC | himanshu1001 | navigate | /metrics | GET request
2025-11-24 16:44:52 UTC | himanshu1001 | navigate | /treatment | GET request
2025-11-24 16:44:54 UTC | himanshu1001 | navigate | /comparison | GET request
2025-11-24 16:44:54 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-11-24 16:44:54 UTC | himanshu1001 | navigate | /kmer_heatmap_data | GET request
2025-11-24 16:44:54 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-11-24 16:44:54 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-11-24 16:44:55 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-11-24 16:44:56 UTC | himanshu1001 | navigate | /metrics | GET request
2025-11-24 16:44:58 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 16:46:19 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 16:46:33 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 16:46:38 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 16:47:16 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 16:47:32 UTC | himanshu1001 | logout | /logout | User logged out
2025-11-24 16:57:27 UTC | himanshu1001 | login_success | /login | User logged in
2025-11-24 16:59:48 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 16:59:53 UTC | himanshu1001 | navigate | /treatment | GET request
2025-11-24 17:00:10 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-24 17:00:12 UTC | himanshu1001 | navigate | /generate | POST request
2025-11-24 17:00:13 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-11-24 17:07:22 UTC | himanshu1001 | navigate | /metrics | GET request
2025-11-24 17:11:32 UTC | himanshu1001 | navigate | /my_video.webm | GET request
2025-11-24 17:11:39 UTC | himanshu1001 | navigate | /my_video.webm | GET request
2025-11-24 17:12:44 UTC | himanshu1001 | navigate | /my_video.webm | GET request
2025-11-24 17:13:01 UTC | himanshu1001 | navigate | /my_video.webm | GET request
2025-11-24 17:13:36 UTC | himanshu1001 | navigate | /my_video.webm | GET request
2025-11-26 14:00:57 UTC | himanshu1001 | login_success | /login | User logged in
2025-11-26 14:00:59 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-26 14:01:02 UTC | himanshu1001 | navigate | /generate | POST request
2025-11-26 14:01:02 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-11-26 14:26:35 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:26:35 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:26:38 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:26:38 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:26:39 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:26:39 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:26:48 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:26:48 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:26:49 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:26:49 UTC | himanshu1001 | view_validation | /validation | status=WARN
2025-11-26 14:32:44 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:32:44 UTC | himanshu1001 | view_validation | /validation | status=WARN
2025-11-26 14:32:52 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-26 14:33:04 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:33:04 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:34:19 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:34:19 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:34:21 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:34:21 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:34:54 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:34:54 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:34:56 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:34:56 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:35:06 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:35:06 UTC | himanshu1001 | view_validation | /validation | status=WARN
2025-11-26 14:35:31 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:35:31 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:39:07 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:39:07 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:40:26 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-26 14:40:30 UTC | himanshu1001 | navigate | /generate | POST request
2025-11-26 14:40:31 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-11-26 14:40:49 UTC | himanshu1001 | navigate | /generate | POST request
2025-11-26 14:40:49 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-11-26 14:42:04 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-26 14:42:07 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:42:07 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:42:09 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:42:09 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:44:13 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:44:13 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:44:18 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:44:18 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:44:19 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:44:19 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:44:20 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:44:20 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:44:22 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:44:22 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:46:08 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:46:08 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:46:48 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:46:48 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:46:50 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:46:50 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:46:51 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:46:51 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:46:52 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:46:52 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:46:54 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:46:54 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:46:55 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:46:55 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:47:12 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:47:12 UTC | himanshu1001 | view_verification | /verification | status=WARN
2025-11-26 14:47:17 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:47:17 UTC | himanshu1001 | view_validation | /validation | status=WARN
2025-11-26 14:51:01 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:51:01 UTC | himanshu1001 | view_verification | /verification | status=PASS
2025-11-26 14:51:08 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-26 14:51:08 UTC | himanshu1001 | view_verification | /verification | status=PASS
2025-11-26 14:51:31 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:51:31 UTC | himanshu1001 | view_validation | /validation | status=WARN
2025-11-26 14:53:50 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:53:50 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-11-26 14:59:01 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:59:01 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-11-26 14:59:04 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 14:59:04 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-11-26 15:00:01 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 15:00:01 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-11-26 15:00:31 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 15:00:32 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-11-26 15:02:07 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-26 15:02:08 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-11-26 15:09:36 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-26 15:21:53 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-26 15:22:36 UTC | himanshu1001 | navigate | /treatment | GET request
2025-11-26 15:23:17 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-26 15:26:14 UTC | himanshu1001 | navigate | /comparison | GET request
2025-11-26 15:26:15 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-11-26 15:26:15 UTC | himanshu1001 | navigate | /kmer_heatmap_data | GET request
2025-11-26 15:26:15 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-11-26 15:26:15 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-11-26 15:26:15 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-11-26 15:26:19 UTC | himanshu1001 | navigate | /generator | GET request
2025-11-27 06:14:27 UTC | himanshu1001 | login_success | /login | User logged in
2025-11-27 06:15:05 UTC | himanshu1001 | logout | /logout | User logged out
2025-11-27 06:15:16 UTC | himanshu1001 | login_success | /login | User logged in
2025-11-27 06:15:19 UTC | himanshu1001 | navigate | /verification | GET request
2025-11-27 06:15:19 UTC | himanshu1001 | view_verification | /verification | status=PASS
2025-11-27 06:15:36 UTC | himanshu1001 | navigate | /validation | GET request
2025-11-27 06:15:36 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-11-27 06:22:09 UTC | himanshu1001 | logout | /logout | User logged out
2025-11-27 06:24:10 UTC | krati | register | /register | New account created
2025-11-27 06:24:30 UTC | krati | login_success | /login | User logged in
2025-11-27 06:25:28 UTC | krati | navigate | /treatment | GET request
