run_id,epoch,d_loss,g_loss,time_sec,cpu_pct,ram_pct,gpu_alloc_gb,gpu_resv_gb,timestamp
26,1,1.7306,0.4308,5.21,,,0.07,1.34,2025-12-10 12:49:44
26,2,-3.7152,1.8812,4.75,,,0.07,1.35,2025-12-10 12:49:49
26,3,-4.8987,2.5213,4.67,,,0.07,1.35,2025-12-10 12:49:54
26,4,-5.031,2.5826,4.67,,,0.07,1.35,2025-12-10 12:49:59
26,5,-3.7962,1.9904,4.72,,,0.07,1.35,2025-12-10 12:50:03
26,6,-3.5003,1.9619,4.67,,,0.07,1.35,2025-12-10 12:50:08
26,7,-4.2551,2.5705,4.68,,,0.07,1.35,2025-12-10 12:50:13
26,8,-4.8926,2.8714,4.63,,,0.07,1.35,2025-12-10 12:50:17
26,9,-5.4153,3.1568,4.72,,,0.07,1.35,2025-12-10 12:50:22
26,10,-4.9646,2.5955,4.63,,,0.07,1.35,2025-12-10 12:50:27
26,11,-3.9962,2.7539,4.65,,,0.07,1.35,2025-12-10 12:50:31
26,12,-4.3041,2.7611,4.63,,,0.07,1.35,2025-12-10 12:50:36
26,13,-3.8754,2.6895,4.64,,,0.07,1.35,2025-12-10 12:50:41
26,14,-3.7432,2.8289,4.64,,,0.07,1.35,2025-12-10 12:50:45
26,15,-4.0322,3.1981,4.69,,,0.07,1.35,2025-12-10 12:50:50
26,16,-3.8522,2.9006,4.68,,,0.07,1.35,2025-12-10 12:50:55
26,17,-3.849,2.6709,4.66,,,0.07,1.35,2025-12-10 12:50:59
26,18,-3.8646,2.9662,4.67,,,0.07,1.35,2025-12-10 12:51:04
26,19,-4.0264,2.8123,4.65,,,0.07,1.35,2025-12-10 12:51:09
27,1,2.0008,0.5534,4.9,,,0.07,1.34,2025-12-10 12:52:27
27,2,-3.0886,2.156,4.66,,,0.07,1.35,2025-12-10 12:52:32
27,3,-4.9,3.1627,4.66,,,0.07,1.35,2025-12-10 12:52:37
27,4,-4.3606,3.1867,4.61,,,0.07,1.35,2025-12-10 12:52:41
27,5,-3.9465,2.9536,4.74,,,0.07,1.35,2025-12-10 12:52:46
27,6,-4.3448,3.3942,4.65,,,0.07,1.35,2025-12-10 12:52:51
27,7,-4.6721,3.4155,4.64,,,0.07,1.35,2025-12-10 12:52:55
27,8,-4.9263,3.6532,4.69,,,0.07,1.35,2025-12-10 12:53:00
27,9,-4.3696,3.4349,4.63,,,0.07,1.35,2025-12-10 12:53:05
27,10,-4.0871,3.4784,4.61,,,0.07,1.35,2025-12-10 12:53:09
27,11,-4.3375,3.6098,4.63,,,0.07,1.35,2025-12-10 12:53:14
27,12,-4.8155,3.7716,4.64,,,0.07,1.35,2025-12-10 12:53:18
27,13,-4.203,3.5123,4.64,,,0.07,1.35,2025-12-10 12:53:23
27,14,-4.1079,3.5698,4.64,,,0.07,1.35,2025-12-10 12:53:28
27,15,-4.4706,3.9266,4.66,,,0.07,1.35,2025-12-10 12:53:32
27,16,-4.7457,3.7632,4.7,,,0.07,1.35,2025-12-10 12:53:37
27,17,-4.4264,3.9077,4.68,,,0.07,1.35,2025-12-10 12:53:42
27,18,-3.4976,3.7751,4.67,,,0.07,1.35,2025-12-10 12:53:46
27,19,-3.4056,3.576,4.69,,,0.07,1.35,2025-12-10 12:53:51
27,20,-3.5255,4.0831,4.72,,,0.07,1.35,2025-12-10 12:53:56
27,21,-4.1022,4.0956,4.76,,,0.07,1.35,2025-12-10 12:54:01
27,22,-4.269,4.0697,4.74,,,0.07,1.35,2025-12-10 12:54:05
27,23,-4.1648,3.97,4.74,,,0.07,1.35,2025-12-10 12:54:10
27,24,-3.9241,3.8193,4.78,,,0.07,1.35,2025-12-10 12:54:15
27,25,-3.9053,3.9952,4.79,,,0.07,1.35,2025-12-10 12:54:20
27,26,-3.7308,3.8404,5.23,,,0.07,1.35,2025-12-10 12:54:25
27,27,-3.639,4.0341,4.91,,,0.07,1.35,2025-12-10 12:54:30
27,28,-3.6841,3.9543,4.85,,,0.07,1.35,2025-12-10 12:54:35
27,29,-3.5621,4.0049,4.79,,,0.07,1.35,2025-12-10 12:54:39
27,30,-3.7014,4.0685,4.82,,,0.07,1.35,2025-12-10 12:54:44
27,31,-3.7644,4.1663,4.87,,,0.07,1.35,2025-12-10 12:54:49
27,32,-3.4808,4.054,4.79,,,0.07,1.35,2025-12-10 12:54:54
27,33,-3.1139,3.8358,4.99,,,0.07,1.35,2025-12-10 12:54:59
27,34,-2.7484,3.9778,4.83,,,0.07,1.35,2025-12-10 12:55:04
27,35,-2.7162,3.7683,4.84,,,0.07,1.35,2025-12-10 12:55:09
27,36,-2.7371,3.7447,4.85,,,0.07,1.35,2025-12-10 12:55:13
27,37,-2.8406,3.6544,4.8,,,0.07,1.35,2025-12-10 12:55:18
27,38,-2.96,3.7487,4.79,,,0.07,1.35,2025-12-10 12:55:23
27,39,-2.9218,3.5635,4.79,,,0.07,1.35,2025-12-10 12:55:28
27,40,-2.8592,3.7005,4.79,,,0.07,1.35,2025-12-10 12:55:33
27,41,-2.8386,3.6852,4.78,,,0.07,1.35,2025-12-10 12:55:37
27,42,-2.8367,3.5786,4.77,,,0.07,1.35,2025-12-10 12:55:42
27,43,-2.7982,3.3231,4.74,,,0.07,1.35,2025-12-10 12:55:47
27,44,-2.7891,3.3303,4.72,,,0.07,1.35,2025-12-10 12:55:52
27,45,-2.8477,3.4868,4.69,,,0.07,1.35,2025-12-10 12:55:56
27,46,-2.8959,3.351,4.73,,,0.07,1.35,2025-12-10 12:56:01
27,47,-2.959,3.5639,4.7,,,0.07,1.35,2025-12-10 12:56:06
27,48,-3.0709,3.5219,4.71,,,0.07,1.35,2025-12-10 12:56:10
27,49,-3.1705,3.5146,4.73,,,0.07,1.35,2025-12-10 12:56:15
27,50,-3.1991,3.5227,4.7,,,0.07,1.35,2025-12-10 12:56:20
27,51,-3.1802,3.5135,4.73,,,0.07,1.35,2025-12-10 12:56:25
27,52,-3.173,3.5726,4.72,,,0.07,1.35,2025-12-10 12:56:29
27,53,-3.1432,3.6014,4.7,,,0.07,1.35,2025-12-10 12:56:34
27,54,-3.1759,3.6742,4.69,,,0.07,1.35,2025-12-10 12:56:39
27,55,-3.0748,3.5346,4.69,,,0.07,1.35,2025-12-10 12:56:43
27,56,-2.8423,3.5095,4.68,,,0.07,1.35,2025-12-10 12:56:48
27,57,-2.7757,3.5147,4.72,,,0.07,1.35,2025-12-10 12:56:53
27,58,-2.7702,3.6425,4.73,,,0.07,1.35,2025-12-10 12:56:58
27,59,-2.6682,3.5802,4.71,,,0.07,1.35,2025-12-10 12:57:02
27,60,-2.6669,3.7296,4.7,,,0.07,1.35,2025-12-10 12:57:07
27,61,-2.6666,3.7957,4.71,,,0.07,1.35,2025-12-10 12:57:12
27,62,-2.6229,3.654,4.71,,,0.07,1.35,2025-12-10 12:57:16
27,63,-2.64,3.6811,4.7,,,0.07,1.35,2025-12-10 12:57:21
27,64,-2.6839,3.7227,4.72,,,0.07,1.35,2025-12-10 12:57:26
27,65,-2.7813,3.7518,4.68,,,0.07,1.35,2025-12-10 12:57:31
27,66,-2.8419,3.7702,4.71,,,0.07,1.35,2025-12-10 12:57:35
27,67,-2.8908,3.7591,4.7,,,0.07,1.35,2025-12-10 12:57:40
27,68,-2.9175,3.7954,4.7,,,0.07,1.35,2025-12-10 12:57:45
27,69,-2.9908,3.8127,4.69,,,0.07,1.35,2025-12-10 12:57:49
27,70,-2.9852,3.7579,4.68,,,0.07,1.35,2025-12-10 12:57:54
27,71,-2.9123,3.7984,4.69,,,0.07,1.35,2025-12-10 12:57:59
27,72,-2.7246,3.6346,4.71,,,0.07,1.35,2025-12-10 12:58:03
27,73,-2.655,3.7084,4.71,,,0.07,1.35,2025-12-10 12:58:08
27,74,-2.5335,3.6748,4.71,,,0.07,1.35,2025-12-10 12:58:13
27,75,-2.4274,3.6127,4.68,,,0.07,1.35,2025-12-10 12:58:18
27,76,-2.3548,3.6132,4.69,,,0.07,1.35,2025-12-10 12:58:22
27,77,-2.2725,3.6047,4.7,,,0.07,1.35,2025-12-10 12:58:27
27,78,-2.2053,3.6151,4.72,,,0.07,1.35,2025-12-10 12:58:32
27,79,-2.1394,3.6338,4.69,,,0.07,1.35,2025-12-10 12:58:36
27,80,-2.0131,3.606,4.68,,,0.07,1.35,2025-12-10 12:58:41
27,81,-1.8832,3.6953,4.7,,,0.07,1.35,2025-12-10 12:58:46
27,82,-1.8888,3.7625,4.73,,,0.07,1.35,2025-12-10 12:58:50
27,83,-1.802,3.6615,4.68,,,0.07,1.35,2025-12-10 12:58:55
27,84,-1.8037,3.6586,4.73,,,0.07,1.35,2025-12-10 12:59:00
27,85,-1.8271,3.7121,4.72,,,0.07,1.35,2025-12-10 12:59:05
27,86,-1.812,3.7429,4.69,,,0.07,1.35,2025-12-10 12:59:09
27,87,-1.769,3.7226,4.7,,,0.07,1.35,2025-12-10 12:59:14
27,88,-1.7904,3.7221,4.87,,,0.07,1.35,2025-12-10 12:59:19
27,89,-1.7777,3.7186,4.83,,,0.07,1.35,2025-12-10 12:59:24
27,90,-1.7691,3.7205,4.8,,,0.07,1.35,2025-12-10 12:59:28
27,91,-1.7559,3.709,4.73,,,0.07,1.35,2025-12-10 12:59:33
27,92,-1.7857,3.7078,4.73,,,0.07,1.35,2025-12-10 12:59:38
27,93,-1.7988,3.7066,4.71,,,0.07,1.35,2025-12-10 12:59:43
27,94,-1.7922,3.7226,4.76,,,0.07,1.35,2025-12-10 12:59:47
27,95,-1.7912,3.7104,4.71,,,0.07,1.35,2025-12-10 12:59:52
27,96,-1.776,3.7316,4.69,,,0.07,1.35,2025-12-10 12:59:57
27,97,-1.7928,3.7445,4.72,,,0.07,1.35,2025-12-10 13:00:02
27,98,-1.7965,3.6899,4.72,,,0.07,1.35,2025-12-10 13:00:06
27,99,-1.7912,3.7267,4.71,,,0.07,1.35,2025-12-10 13:00:11
27,100,-1.8081,3.7086,4.69,,,0.07,1.35,2025-12-10 13:00:16
